排名,均线组合,成交量信号,预期收益,实际收益,收益差异,盈利股票数,总股票数,盈利比例,平均胜率,平均回撤,平均交易次数
1,MA5/MA20,天量见顶,17.72,0.0736183389840382,-0.10358166101596179,1950,3571,54.60655278633436,63.47475030336973,0.2031966288715053,1.4351722206664799
2,MA15/MA20,天量见顶,17.69,0.08154228088406622,-0.09535771911593378,1991,3571,55.75469056286755,63.87613180248297,0.20508508645193244,1.4740968916269952
3,MA15/MA20,放量滞涨,16.96,0.07842348831447789,-0.09117651168552211,1939,3571,54.29851582189863,57.26533850728754,0.19910961539029895,1.8737048445813498
4,MA10/MA20,天量见顶,16.86,0.07384664076253161,-0.09475335923746839,1995,3571,55.86670400448054,63.42901148137776,0.19951140198367776,1.4018482217866144
5,MA5/MA20,放量滞涨,16.71,0.06548756179389541,-0.10161243820610459,1852,3571,51.86222346681602,56.196676934565474,0.19859945662322986,1.886026323158779
