ma_combo,exit_signal,avg_return,avg_win_rate,avg_drawdown,avg_trades,profitable_stocks,total_stocks,profit_ratio
MA5/MA20,缩量止盈,0.11670046051004032,88.35341365461848,0.23618945910336078,1.8032128514056225,294,498,59.036144578313255
MA5/MA20,放量滞涨,0.16706282585742993,67.5635876840696,0.2089606049111161,2.540160642570281,324,498,65.06024096385542
MA5/MA20,天量见顶,0.17716123030522102,77.1251673360107,0.21633638975051636,1.857429718875502,335,498,67.26907630522089
MA5/MA20,量价背离,0.11803166769277128,91.16465863453816,0.21377936972375952,2.0642570281124497,305,498,61.24497991967871
MA5/MA20,固定止盈 10%,0.12805686309036163,88.55421686746988,0.20168670490647478,1.8694779116465863,323,498,64.85943775100401
MA5/MA20,固定止盈 15%,0.15021388225903629,80.92369477911646,0.21650386751648923,1.4397590361445782,319,498,64.05622489959839
MA5/MA20,死叉卖出,0.10348401024698836,37.73483544567881,0.23298618620909106,6.082329317269076,259,498,52.00803212851406
MA10/MA20,缩量止盈,0.12576708842168693,89.35742971887551,0.22740519405734336,1.7690763052208835,301,498,60.44176706827309
MA10/MA20,放量滞涨,0.162496225861446,69.77911646586345,0.2026169016523163,2.4558232931726907,319,498,64.05622489959839
MA10/MA20,天量见顶,0.1686196633915664,78.59103078982598,0.21389818497981955,1.857429718875502,331,498,66.46586345381526
MA10/MA20,量价背离,0.12542990669879533,91.56626506024097,0.20474249481932535,2.0180722891566263,321,498,64.45783132530121
MA10/MA20,固定止盈 10%,0.12024863048996,89.1566265060241,0.19825447668141338,1.8012048192771084,325,498,65.26104417670683
MA10/MA20,固定止盈 15%,0.14481476507028126,81.12449799196787,0.2106499514226209,1.4036144578313252,334,498,67.06827309236948
MA10/MA20,死叉卖出,0.11661048724899634,43.02290692350933,0.23037619607219342,5.275100401606426,281,498,56.42570281124498
MA10/MA30,缩量止盈,0.10462050036144589,83.13253012048193,0.20382006588326015,1.395582329317269,307,498,61.64658634538153
MA10/MA30,放量滞涨,0.1271761007148596,66.2115127175368,0.17546304354351988,1.9196787148594376,315,498,63.25301204819277
MA10/MA30,天量见顶,0.12949574165662664,72.8045515394913,0.18957558041494682,1.5823293172690762,325,498,65.26104417670683
MA10/MA30,量价背离,0.09854576275502021,87.34939759036145,0.18154204326600548,1.5783132530120483,311,498,62.44979919678715
MA10/MA30,固定止盈 10%,0.09962736546184751,84.33734939759036,0.1747225071122149,1.4558232931726907,325,498,65.26104417670683
MA10/MA30,固定止盈 15%,0.11545726281325314,75.90361445783132,0.19381869641931515,1.140562248995984,323,498,64.85943775100401
MA10/MA30,死叉卖出,0.10276061356425725,41.52291706508574,0.21955890301776776,3.4056224899598395,245,498,49.19678714859438
MA15/MA20,缩量止盈,0.1296922872771086,87.55020080321285,0.23124203928050413,1.8353413654618473,310,498,62.24899598393574
MA15/MA20,放量滞涨,0.16961244693373514,68.49015108051252,0.21084161104585847,2.4558232931726907,323,498,64.85943775100401
